masked_fivegram,training_document_frequency,training_document_pct,countries_present
the first time through kiva,836,0.063493,3
to increase his stock of,836,0.063493,15
to invest in agriculture name,836,0.063493,4
with three children with one,836,0.063493,6
able to pay his children,835,0.063417,13
he is married with two,835,0.063417,26
he used his previous loan,835,0.063417,12
is taking this loan to,835,0.063417,14
providing better living conditions for,835,0.063417,10
to repay his loan on,835,0.063417,11
and children in small village,834,0.063341,4
buy more stock of clothes,834,0.063341,10
for financial assistance that will,834,0.063341,3
further develop her farm she,834,0.063341,3
her family she has one,834,0.063341,9
her general store in the,834,0.063341,4
her home in order to,834,0.063341,19
she is requesting another loan,834,0.063341,25
will have many more great,834,0.063341,4
working capital name will use,834,0.063341,8
have many more great memories,833,0.063265,4
hoping for your support to,833,0.063265,3
in order to grow more,833,0.063265,17
income of amt org per,833,0.063265,6
lives in loc in the,833,0.063265,14
partner org loc to buy,833,0.063265,8
the money from this loan,833,0.063265,17
to increase the size of,833,0.063265,35
be used to buy materials,832,0.063189,7
classes from camfed my better,832,0.063189,5
has been working in animal,832,0.063189,5
helps her support her family,832,0.063189,11
is married with seven children,832,0.063189,24
old and from loc she,832,0.063189,10
years old and is the,832,0.063189,26
years old and is widow,832,0.063189,22
amt years ago with the,831,0.063113,16
an unwavering passion for agriculture,831,0.063113,3
business for eight years she,831,0.063113,20
children she has kiosk that,831,0.063113,4
family name has general store,831,0.063113,4
her husband works in construction,831,0.063113,14
like to build house and,831,0.063113,8
loan to buy high quality,831,0.063113,17
of income comes from her,831,0.063113,12
past four years name has,831,0.063113,14
raising livestock for amt years,831,0.063113,10
requested loan to buy more,831,0.063113,19
she would like to establish,831,0.063113,6
amt years she has had,830,0.063037,13
doing this for amt years,830,0.063037,24
grow her business and dreams,830,0.063037,3
has already received and successfully,830,0.063037,3
has amt children he has,830,0.063037,17
loan will enable him to,830,0.063037,22
soft drinks to help expand,830,0.063037,3
three children living in loc,830,0.063037,7
already received and successfully repaid,829,0.062961,3
expand her business name is,829,0.062961,23
for the support provided to,829,0.062961,8
of four children living in,829,0.062961,12
almost amt years she has,828,0.062886,9
business for the past four,828,0.062886,21
her family but also contributes,828,0.062886,4
in the farming business for,828,0.062886,14
is seeking loan through kiva,828,0.062886,10
of the entire family but,828,0.062886,3
seeds and fertilizer she hopes,828,0.062886,5
the far right of the,828,0.062886,7
to buy refrigerator to keep,828,0.062886,10
wants to purchase bundles of,828,0.062886,3
woman residing in the loc,828,0.062886,3
because he wanted to have,827,0.06281,5
children she has requested loan,827,0.06281,15
her standard of living name,827,0.06281,21
is amt years old woman,827,0.06281,28
is looking forward to bountiful,827,0.06281,3
is married woman she buys,827,0.06281,4
loan to cover the cost,827,0.06281,14
money so that she could,827,0.06281,4
her customers name has been,826,0.062734,8
her livestock in the future,826,0.062734,4
she wants her business to,826,0.062734,17
the picturesque region of loc,826,0.062734,3
two of them are currently,826,0.062734,11
used to pay school fees,826,0.062734,14
years old she is living,826,0.062734,11
children he lives with his,825,0.062658,23
has been raising livestock and,825,0.062658,9
he wanted to have access,825,0.062658,3
loan to enable her to,825,0.062658,20
piglets sacks of feed and,825,0.062658,3
the life of her family,825,0.062658,19
aged amt amt and amt,824,0.062582,17
child name runs general store,824,0.062582,3
has three children she lives,824,0.062582,24
is married woman and mother,824,0.062582,26
loan to buy new sewing,824,0.062582,22
loc kiva field partner she,824,0.062582,3
school going children he is,824,0.062582,6
since amt she has been,824,0.062582,21
this will improve his work,824,0.062582,3
will increase her sales and,824,0.062582,21
years old and the youngest,824,0.062582,17
and the father of three,823,0.062506,27
family in the future name,823,0.062506,17
her business and renovate her,823,0.062506,10
inadequate working capital name will,823,0.062506,5
is in school name has,823,0.062506,10
old married woman who has,823,0.062506,25
profits of the business to,823,0.062506,3
she has paid off her,823,0.062506,8
to purchase more stocks of,823,0.062506,12
and amt years old name,822,0.06243,17
greetings from loc name is,822,0.06243,8
has been in the farming,822,0.06243,12
her profits to reinvest in,822,0.06243,7
improving financial management and increasing,822,0.06243,3
in school name has business,822,0.06243,6
is going to buy amt,822,0.06243,8
is grateful to org loc,822,0.06243,5
life and is grateful to,822,0.06243,5
of good harvest which will,822,0.06243,3
to help him improve his,822,0.06243,13
buy more charcoal to sell,821,0.062354,9
construction worker she has been,821,0.062354,3
four children she lives in,821,0.062354,25
has successfully repaid her previous,821,0.062354,14
he will use the profits,821,0.062354,19
is her second loan cycle,821,0.062354,13
she is asking for new,821,0.062354,17
with the loan she wants,821,0.062354,16
applying for loan of amt,820,0.062278,15
be used to increase her,820,0.062278,19
has been good client of,820,0.062278,5
her goal is to be,820,0.062278,17
items to sell and increase,820,0.062278,6
org for the third time,820,0.062278,4
business his dream is to,819,0.062202,11
is barely enough for the,819,0.062202,5
loan to add stock of,819,0.062202,3
loan to buy more clothes,819,0.062202,23
name was unable to study,819,0.062202,3
wants to renovate her house,819,0.062202,12
work and the help of,819,0.062202,7
average monthly income of amt,818,0.062126,4
be able to repay her,818,0.062126,12
from kiva lenders to buy,818,0.062126,9
is her only source of,818,0.062126,22
month at the market and,818,0.062126,3
old married woman and the,818,0.062126,23
says her business is going,818,0.062126,4
to add stock to her,818,0.062126,9
woman living in the area,818,0.062126,3
assured of good harvest which,817,0.06205,3
currently in school she works,817,0.06205,3
has decided to expand her,817,0.06205,12
in animal husbandry since amt,817,0.06205,3
loc the capital of the,817,0.06205,3
now seeking loan to buy,817,0.06205,13
on improving financial management and,817,0.06205,3
seeking loan from kiva lenders,817,0.06205,3
the market she is requesting,817,0.06205,16
use this new loan to,817,0.06205,20
with three other family members,817,0.06205,5
with two of her children,817,0.06205,17
and his family live in,816,0.061974,21
child she works hard to,816,0.061974,8
he has been working as,816,0.061974,24
members of the group in,816,0.061974,6
old and all of her,816,0.061974,3
seeking loan to purchase essential,816,0.061974,3
she asks for loan to,816,0.061974,15
business for almost amt years,815,0.061898,19
children he is group leader,815,0.061898,3
field partner org loc with,815,0.061898,3
income of amt org name,815,0.061898,4
of rice to sell in,815,0.061898,8
quality farming inputs such as,815,0.061898,5
really wants to improve her,815,0.061898,9
the ages of her children,815,0.061898,4
to everyone who helped her,815,0.061898,3
who is in school name,815,0.061898,14
will be able to support,815,0.061898,25
with her husband and child,815,0.061898,26
with two children with both,815,0.061898,3
year old mother of one,815,0.061898,25
children the family lives in,814,0.061822,15
name has run general store,814,0.061822,6
requesting loan to buy solar,814,0.061822,9
sugar salt cooking oil and,814,0.061822,10
thankful in advance for your,814,0.061822,3
to make improvements to her,814,0.061822,19
wants to improve her life,814,0.061822,11
with amt children she joined,814,0.061822,4
amt to amt years old,813,0.061746,22
five children she is in,813,0.061746,10
she earns more income from,813,0.061746,5
the future name wishes to,813,0.061746,10
use her loan portion to,813,0.061746,11
for three years and also,812,0.06167,5
kiva loan she expanded her,812,0.06167,6
of loc she has one,812,0.06167,8
the income she makes from,812,0.06167,17
are to expand her business,811,0.061594,16
children they live in community,811,0.061594,3
great memories and amazing accomplishments,811,0.061594,4
loc where she lives with,811,0.061594,16
loc which she has been,811,0.061594,4
married mother of five children,811,0.061594,27
money to take care of,811,0.061594,21
more great memories and amazing,811,0.061594,4
of loc she is very,811,0.061594,12
purchase more sacks of rice,811,0.061594,5
she will continue to save,811,0.061594,5
six children she works very,811,0.061594,3
so that she can expand,811,0.061594,32
to give her family better,811,0.061594,19
child for the past amt,810,0.061518,11
family but also contribute to,810,0.061518,4
her family live decent life,810,0.061518,6
she hopes to have your,810,0.061518,3
so she can continue to,810,0.061518,19
wants to increase her business,810,0.061518,18
whom are in school and,810,0.061518,14
year old farmer from loc,810,0.061518,8
amt year old widowed woman,809,0.061443,18
in the future name wishes,809,0.061443,10
she wants to build her,809,0.061443,13
six children three of whom,809,0.061443,23
thankful to all the lenders,809,0.061443,11
will be able to help,809,0.061443,25
at the market name is,808,0.061367,16
be thankful to the lenders,808,0.061367,4
in this line of work,808,0.061367,26
lives with her mother and,808,0.061367,22
with seven children she works,808,0.061367,4
amt this is her first,807,0.061291,6
and amt hours per day,807,0.061291,5
because he wanted to be,807,0.061291,4
he is married with three,807,0.061291,27
her main challenge is the,807,0.061291,12
improve her business and take,807,0.061291,7
is repeat client and has,807,0.061291,4
of experience under her belt,807,0.061291,3
she has been unable to,807,0.061291,14
very responsible with his crops,807,0.061291,4
help of org and kiva,806,0.061215,3
paying back the loan in,806,0.061215,7
